bucket;files;key;size;sizep
commoncrawl-crawl-002;447;2009/11/21/36/;44678442654;41.6 GiB
commoncrawl-crawl-002;526;2009/11/21/37/;52518345361;48.9 GiB
commoncrawl-crawl-002;480;2009/11/21/38/;47928203270;44.6 GiB
commoncrawl-crawl-002;456;2009/11/21/39/;45547903569;42.4 GiB
commoncrawl-crawl-002;471;2009/11/21/4/;47093951929;43.9 GiB
commoncrawl-crawl-002;446;2009/11/21/40/;44517790626;41.5 GiB
commoncrawl-crawl-002;452;2009/11/21/41/;45178210151;42.1 GiB
commoncrawl-crawl-002;496;2009/11/21/42/;49582618666;46.2 GiB
commoncrawl-crawl-002;502;2009/11/21/43/;50113039821;46.7 GiB
commoncrawl-crawl-002;491;2009/11/21/44/;49069558441;45.7 GiB
commoncrawl-crawl-002;494;2009/11/21/45/;49348345508;46.0 GiB
commoncrawl-crawl-002;517;2009/11/21/46/;51632226544;48.1 GiB
commoncrawl-crawl-002;500;2009/11/21/47/;50003803666;46.6 GiB
commoncrawl-crawl-002;495;2009/11/21/5/;49456337484;46.1 GiB
commoncrawl-crawl-002;481;2009/11/21/6/;48062479603;44.8 GiB
commoncrawl-crawl-002;474;2009/11/21/7/;47393647400;44.1 GiB
commoncrawl-crawl-002;479;2009/11/21/8/;47879078437;44.6 GiB
commoncrawl-crawl-002;462;2009/11/21/9/;46176561509;43.0 GiB
commoncrawl-crawl-002;278429;2010/;27807746423201;25.3 TiB
commoncrawl-crawl-002;76465;2010/01/;7604465852727;6.9 TiB
commoncrawl-crawl-002;6024;2010/01/06/;599601814890;558.4 GiB
commoncrawl-crawl-002;144;2010/01/06/0/;14326036391;13.3 GiB
commoncrawl-crawl-002;141;2010/01/06/1/;14016176772;13.1 GiB
commoncrawl-crawl-002;139;2010/01/06/10/;13839517414;12.9 GiB
commoncrawl-crawl-002;69;2010/01/06/11/;6846077700;6.4 GiB
commoncrawl-crawl-002;142;2010/01/06/12/;14139365815;13.2 GiB
commoncrawl-crawl-002;154;2010/01/06/13/;15248361634;14.2 GiB
commoncrawl-crawl-002;147;2010/01/06/14/;14621816897;13.6 GiB
commoncrawl-crawl-002;153;2010/01/06/15/;15203182954;14.2 GiB
commoncrawl-crawl-002;72;2010/01/06/16/;7177373461;6.7 GiB
commoncrawl-crawl-002;138;2010/01/06/17/;13697484624;12.8 GiB
commoncrawl-crawl-002;76;2010/01/06/18/;7601667913;7.1 GiB
commoncrawl-crawl-002;113;2010/01/06/19/;11282681125;10.5 GiB
commoncrawl-crawl-002;154;2010/01/06/2/;15332085600;14.3 GiB
commoncrawl-crawl-002;147;2010/01/06/20/;14614226783;13.6 GiB
commoncrawl-crawl-002;126;2010/01/06/21/;12586049909;11.7 GiB
commoncrawl-crawl-002;170;2010/01/06/22/;16922167618;15.8 GiB
commoncrawl-crawl-002;122;2010/01/06/23/;12130383947;11.3 GiB
commoncrawl-crawl-002;130;2010/01/06/24/;12915611351;12.0 GiB
commoncrawl-crawl-002;153;2010/01/06/25/;15232122278;14.2 GiB
commoncrawl-crawl-002;142;2010/01/06/26/;14204403522;13.2 GiB
commoncrawl-crawl-002;139;2010/01/06/27/;13893206347;12.9 GiB
commoncrawl-crawl-002;147;2010/01/06/28/;14667455054;13.7 GiB
